operator_id,category,best_time_ms,initial_time_ms,pytorch_time_ms,compile_time_ms,speedup_vs_initial,speedup_vs_pytorch,total_rounds,recommended_for_main_figure
segment_softmax,graph_reduction,0.0039,0.0475,0.0267,0.0169,12.12,6.81,5,True
fused_silu,elementwise,0.0037,0.0038,0.0062,0.0055,1.03,1.67,5,True
edge_feature_fusion,graph_message,0.0035,0.0037,0.0055,0.0037,1.05,1.59,5,True
stress_loss,force_stress,0.006,0.0062,0.0094,0.0036,1.04,1.57,5,True
force_loss,force_stress,0.006,0.0062,0.0094,0.0038,1.03,1.56,5,True
energy_to_stress,force_stress,0.0039,0.0036,0.0059,0.0037,0.95,1.54,5,True
residual_add,elementwise,0.0034,0.004,0.0037,0.0037,1.15,1.07,5,False
energy_to_force,force_stress,0.0035,0.0038,0.0038,0.0035,1.06,1.07,5,False
fused_sigmoid,elementwise,0.0037,0.0039,0.0039,0.0036,1.05,1.05,5,False
reference_energy_add,elementwise,0.0035,0.0039,0.0037,0.0036,1.11,1.05,5,False
