tier,outcome,count,total,fraction
all,both_success,23,33,0.697
all,only_with_fx,4,33,0.1212
all,only_without_fx,2,33,0.0606
all,both_failed,4,33,0.1212
P0,both_success,8,12,0.6667
P0,only_with_fx,1,12,0.0833
P0,only_without_fx,2,12,0.1667
P0,both_failed,1,12,0.0833
P1,both_success,6,10,0.6
P1,only_with_fx,2,10,0.2
P1,only_without_fx,0,10,0.0
P1,both_failed,2,10,0.2
P2,both_success,5,7,0.7143
P2,only_with_fx,1,7,0.1429
P2,only_without_fx,0,7,0.0
P2,both_failed,1,7,0.1429
force_stress,both_success,4,4,1.0
force_stress,only_with_fx,0,4,0.0
force_stress,only_without_fx,0,4,0.0
force_stress,both_failed,0,4,0.0
