operator,category,optimized_kernel_ms,pre_optimization_ms,torch_eager_ms,torch_compile_ms,speedup_vs_pre_optimization,speedup_vs_torch_eager,speedup_vs_torch_compile,rounds,recommended_use
segment_softmax,graph reduction,0.0039,0.0475,0.0267,0.0169,12.12x,6.81x,4.33x,5,main highlight
fused_silu,elementwise activation,0.0037,0.0038,0.0062,0.0055,1.03x,1.67x,1.49x,5,main figure
edge_feature_fusion,graph message,0.0035,0.0037,0.0055,0.0037,1.05x,1.59x,1.06x,5,main figure
stress_loss,force/stress loss,0.0060,0.0062,0.0094,0.0036,1.04x,1.57x,0.60x,5,force-stress table
force_loss,force/stress loss,0.0060,0.0062,0.0094,0.0038,1.03x,1.56x,0.63x,5,force-stress table
energy_to_stress,force/stress representative,0.0039,0.0036,0.0059,0.0037,0.95x,1.54x,0.95x,5,force-stress table
residual_add,elementwise,0.0034,0.0040,0.0037,0.0037,1.15x,1.07x,1.09x,5,appendix
energy_to_force,force representative,0.0035,0.0038,0.0038,0.0035,1.06x,1.07x,1.00x,5,force-stress table
fused_sigmoid,elementwise activation,0.0037,0.0039,0.0039,0.0036,1.05x,1.05x,0.97x,5,appendix
reference_energy_add,elementwise,0.0035,0.0039,0.0037,0.0036,1.11x,1.05x,1.03x,5,appendix
geomean,all benchmarked kernels,,,,,1.34x,1.56x,1.10x,,summary
