operator_id,completed,success,error_kind,best_time_ms,initial_time_ms,pytorch_time_ms,compile_time_ms,speedup_vs_initial,speedup_vs_pytorch,total_rounds,optimized_kernel
edge_vector_distance,True,True,,,,,,,,,
unit_vector,True,False,no_successful_workers,,0.0041,0.0135,0.0036,0.0,0.0,,
cutoff_envelope,True,True,,,,,,,,,
gaussian_rbf,True,False,no_successful_workers,,0.0857,0.0117,0.0036,0.0,0.0,,
segment_sum,True,False,no_successful_workers,,,0.0178,0.0177,,0.0,,
index_add,True,False,no_successful_workers,,,0.0178,0.0182,,0.0,,
segment_max,True,False,no_successful_workers,,0.1002,0.0119,0.0083,0.0,0.0,,
segment_softmax,True,True,,0.0039,0.0475,0.0267,0.0169,12.12,6.81,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/segment_softmax/optimized_kernel_greedy.py
graph_pool_sum,True,False,no_successful_workers,,,0.0187,0.0194,,0.0,,
edge_gather,True,False,no_successful_workers,,,0.0047,0.004,,0.0,,
edge_feature_fusion,True,True,,0.0035,0.0037,0.0055,0.0037,1.05,1.59,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/edge_feature_fusion/optimized_kernel_greedy.py
attention_weighted_message,True,False,no_successful_workers,,0.0037,0.0065,0.0036,0.0,0.0,,
node_update_scatter,True,False,no_successful_workers,,,0.0175,0.0174,,0.0,,
line_graph_update,True,False,no_successful_workers,,,0.0132,0.0043,,0.0,,
gated_mlp,True,False,no_successful_workers,,0.0037,0.0065,0.0149,0.0,0.0,,
fused_silu,True,True,,0.0037,0.0038,0.0062,0.0055,1.03,1.67,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/fused_silu/optimized_kernel_greedy.py
fused_sigmoid,True,True,,0.0037,0.0039,0.0039,0.0036,1.05,1.05,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/fused_sigmoid/optimized_kernel_greedy.py
linear,True,False,no_successful_workers,,0.0044,0.0106,0.0084,0.0,0.0,,
gemm,True,False,initial_correctness_failed,,,,,,,,
residual_add,True,True,,0.0034,0.004,0.0037,0.0037,1.15,1.07,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/residual_add/optimized_kernel_greedy.py
dropout,True,False,no_successful_workers,,,0.0056,0.0036,,0.0,,
energy_readout,True,False,no_successful_workers,,,0.0089,0.0095,,0.0,,
reference_energy_add,True,True,,0.0035,0.0039,0.0037,0.0036,1.11,1.05,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/reference_energy_add/optimized_kernel_greedy.py
energy_to_force,True,True,,0.0035,0.0038,0.0038,0.0035,1.06,1.07,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/energy_to_force/optimized_kernel_greedy.py
energy_to_stress,True,True,,0.0039,0.0036,0.0059,0.0037,0.95,1.54,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/energy_to_stress/optimized_kernel_greedy.py
force_loss,True,True,,0.006,0.0062,0.0094,0.0038,1.03,1.56,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/force_loss/optimized_kernel_greedy.py
stress_loss,True,True,,0.006,0.0062,0.0094,0.0036,1.04,1.57,5,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_inputs/stress_loss/optimized_kernel_greedy.py
